system:index,FIPS formula,Geographic Name,count,mean,year,.geo
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_662,17131,"Mercer County, Illinois",256068,1511.748878,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_872,19163,"Scott County, Iowa",0,,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_860,19139,"Muscatine County, Iowa",0,,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_842,19103,"Johnson County, Iowa",0,,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_847,19113,"Linn County, Iowa",77670,1631.614919,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_796,19011,"Benton County, Iowa",703718,1675.541998,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_838,19095,"Iowa County, Iowa",252757,1610.043627,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_841,19101,"Jefferson County, Iowa",23257,1469.85087,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_844,19107,"Keokuk County, Iowa",205867,1512.963921,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_882,19183,"Washington County, Iowa",0,,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_848,19115,"Louisa County, Iowa",257,1527.007709,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_819,19057,"Des Moines County, Iowa",113836,1507.511393,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_846,19111,"Lee County, Iowa",23767,1476.692649,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_597,17001,"Adams County, Illinois",454745,1691.997502,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_879,19177,"Van Buren County, Iowa",363,1442.487108,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_816,19051,"Davis County, Iowa",5515,1407.394078,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_880,19179,"Wapello County, Iowa",68887,1500.74953,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_794,19007,"Appanoose County, Iowa",12503,1211.881669,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_858,19135,"Monroe County, Iowa",68,1326.339291,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_849,19117,"Lucas County, Iowa",6839,1185.678376,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_883,19185,"Wayne County, Iowa",39170,1204.703447,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_792,19003,"Adams County, Iowa",189305,1540.96403,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_877,19173,"Taylor County, Iowa",130752,1220.473025,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_878,19175,"Union County, Iowa",147167,1459.403855,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_870,19159,"Ringgold County, Iowa",82635,1253.878244,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_810,19039,"Clarke County, Iowa",45544,1351.113056,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_817,19053,"Decatur County, Iowa",41676,1287.894733,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_815,19049,"Dallas County, Iowa",577631,1455.382353,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_851,19121,"Madison County, Iowa",273085,1464.902894,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_805,19029,"Cass County, Iowa",437725,1462.418874,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_795,19009,"Audubon County, Iowa",427187,1446.714627,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_829,19077,"Guthrie County, Iowa",404076,1402.853611,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_804,19027,"Carroll County, Iowa",638158,1485.69002,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_827,19073,"Greene County, Iowa",677966,1462.636665,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_798,19015,"Boone County, Iowa",628263,1534.830908,2001,
